country,city,id
India,Trivandrum,11290
India,Agra,34
India,Ahmedabad,11
India,Allahabad,24
India,Amritsar,22
India,Aurangabad,25
India,Bangalore,4
India,Bhopal,26
India,Bhubaneswar,29
India,Chandigarh,12
India,Chennai,7
India,Coimbatore,30
India,Dehradun,35
India,Delhi NCR,1
India,Goa,13
India,Guwahati,21
India,Hyderabad,6
India,Indore,14
India,Jaipur,10
India,Kanpur,23
India,Kochi,9
India,Kolkata,2
India,Lucknow,8
India,Ludhiana,20
India,Mangalore,31
India,Mumbai,3
India,Mysore,36
India,Nagpur,33
India,Nashik,16
India,Neemrana,11079
India,Patna,40
India,Puducherry,37
India,Pune,5
India,Ranchi,27
India,Surat,38
India,Udaipur,11054
India,Vadodara,32
India,Varanasi,39
India,Visakhapatnam,28
India,Gurgaon,36953
India,Noida,93
India,Faridabad,501
India,Ghaziabad,600
India,Madurai,11295
India,Vijayawada,11300
India,Kota,11302
India,Jodhpur,11301
India,Ajmer,11303
India,Jalandhar,11306
Australia,Melbourne,259
Australia,Sydney,260
Australia,Brisbane,298
Australia,Perth,296
Australia,Adelaide,297
Australia,Gold Coast,2555
Australia,Newcastle,2246
Australia,Canberra,313
Australia,Sunshine Coast,2566
Australia,Wollongong,2171
Australia,Hobart,314
Australia,Geelong,1701
Australia,Townsville,2447
Australia,Cairns,2451
Australia,Darwin,1323
Australia,Toowoomba,2764
Australia,Ballarat,1631
Australia,Bendigo,1580
Australia,Albury,2376
New Zealand,Auckland,70
New Zealand,Wellington,71
New Zealand,Christchurch,90
Sri Lanka,Colombo,58
